Rank,Name,GP,G,P1G,P1GPRCT,P2G,P2GPRCT,P3G,P3GPRCT,OTG
10,Alexander Ovechkin,73,42,9,21.4,11,26.1,21,50,1
9,Nathan MacKinnon,71,42,13,30.9,14,33.3,13,30.9,2
8,Jack Hughes,78,43,10,23.2,18,41.8,14,32.5,1
7,Jason Robertson,82,46,9,19.5,21,45.6,15,32.6,1
6,Tage Thompson,78,47,22,46.8,11,23.4,13,27.6,1
5,Brayden Point,82,51,17,33.3,13,25.4,20,39.2,1
4,Leon Draisaitl,80,52,13,25,25,48,13,25,1
3,Mikko Rantanen,82,55,15,27.2,23,41.8,14,25.4,3
2,David Pastrnak,82,61,13,21.3,22,36,22,36,4
1,Connor McDavid,82,64,15,23.4,20,31.2,27,42.1,2
